Name,Value
GUI_activeDestinationIsSupercharger,false
GUI_activeDestinationLocation,@invalid
GUI_activeGame,
GUI_activeHeatingDurationMinutes,7.969
GUI_activeHeatingEnabledForTrip,false
GUI_activeHeatingEnergyConsumption,22.866
GUI_activePackHeatingRequest,false
GUI_adaptiveHeadlightsRequest,true
GUI_adaptiveRideRequest,<invalid>
GUI_adasCurvatureLog,false
GUI_aebDisabled,false
GUI_alarmOnRequest,true
GUI_alcOffHighwayEnable,true
GUI_alertCount,0
GUI_allReady,true
GUI_alwaysShowRecentChargers,false
GUI_alwaysShowSCWVisualization,false
GUI_anonDebugFlag1,false
GUI_anonDebugFlag2,false
GUI_anonDebugFlag3,false
GUI_anonDebugFlag4,false
GUI_anonDebugParam1,0
GUI_anonDebugParam2,0
GUI_anonDebugParam3,0
GUI_anonDebugParam4,0
GUI_anonDebugParam5,0
GUI_anonDebugParam6,0
GUI_anonDebugParam7,0
GUI_apTrialExpiredAlert,false
GUI_apmv3Branch,Live
GUI_appUptime,208264
GUI_applyEceR79,false
GUI_approachLightingRequest,true
GUI_audioReady,true
GUI_audioVolume,2.667
GUI_audioVolumeIncrement,0.333
GUI_audioVolumeMax,10.333
GUI_autoAdjustBacklight,true
GUI_autoDoorLockOnRequest,true
GUI_autoEmergencyBrakingOffRequest,false
GUI_autoFoldMirrors,true
GUI_autoHiLoBeamOnRequest,true
GUI_autoHighBeamNetwork,false
GUI_autoLaneChangeOnRequest,true
GUI_autoParkRequest,Search
GUI_autoPresentDoorsRequest,false
GUI_autoPresentHandlesRequest,true
GUI_autoSummonReady,false
GUI_autoSummonState,Off
GUI_autoparkAllowCrossPark,true
GUI_autoparkAllowPOC,false
GUI_autoparkAllowVirtualCurb,false
GUI_autoparkStatus,Idle
GUI_autopilotAlwaysOn,false
GUI_autopilotClusterDebug,false
GUI_autopilotControlRequest,NextGen
GUI_autopilotReboot,false
GUI_autopilotTrialRequest,None
GUI_autosteerDisabled,false
GUI_autosteerOnRequest,true
GUI_avoidFerries,false
GUI_avoidHighways,false
GUI_avoidTollRoads,false
GUI_backlightAdjustmentMode,Dynamic
GUI_backlightClusterOffset,0
GUI_backlightRequest,27
GUI_backlightUserRequest,27
GUI_backupCameraDisable,false
GUI_backupCameraStreamError,false
GUI_backupCameraStreamFrameTimeout,false
GUI_backupCameraStreamIPUTimeout,false
GUI_bccenResetRequest,false
GUI_bcfalcdResetRequest,false
GUI_bcfalcpResetRequest,false
GUI_bcfdmResetRequest,false
GUI_bcfpmResetRequest,false
GUI_bcs2cResetRequest,false
GUI_bcs2lResetRequest,false
GUI_bcs2rResetRequest,false
GUI_biohazardOnRequest,false
GUI_blindSpotAssistOnRequest,true
GUI_blinkerRequest,false
GUI_browserLocale,en_US
GUI_browserTranslationFile,QtCar_en
GUI_cabinOverheatProtection,On
GUI_cameraFlip,true
GUI_cameraHardwareOK,false
GUI_cameraHardwarePowerOffRequest,false
GUI_cameraPowerRequest,false
GUI_canUseInternet,true
GUI_carColorOverride,
GUI_cdBoardTemp,33.000
GUI_cdDisplayTemp,0.000
GUI_cdProcTemp,38.000
GUI_centerDisplayDeviceState,Idle
GUI_centerDisplayTakeOverNow,false
GUI_centerDisplayVersion,develop/2019.16.2 #55568 (73d3f3c on 2019-05-16) Built: 2019-05-17
GUI_chargeAveragePower,0.000
GUI_chargeCurrentRequest,48
GUI_chargeCurrentRequestMax,48
GUI_chargeEnableRequest,true
GUI_chargeLimitRequest,90
