Name,Value
DOOR_rearDriverLatch,@invalid
DOOR_rearPassengerLatch,@invalid
DOOR_rearTrunkLatch,@invalid
EAS_allowedLevels,@invalid
EAS_currentLevel,High
EAS_jackModeLamp,false
EAS_levelingNotAllowed,@invalid
EAS_levelingNotPossible,@invalid
EAS_limpMode,@invalid
EAS_mode,@invalid
EAS_spinner,@invalid
EAS_systemDisabled,@invalid
EAS_targetLevel,High
EBHZN_currentBranchIsAutosteerRestricted,@invalid
EBHZN_currentBranchIsControlledAccess,@invalid
EBHZN_currentBranchIsRamp,@invalid
EBHZN_currentBranchRoadClass,@invalid
EBHZN_dasBranchTrigger,@invalid
EBHZN_externalRouteLastUpdated,@invalid
EBHZN_nextBranchDistanceInMeters,@invalid
EBHZN_nextBranchOffRampToLeft,@invalid
EBHZN_nextBranchOffRampToRight,@invalid
EBHZN_speedLimit,@invalid
EBHZN_speedLimitUnits,@invalid
EBNKMAP_3DMode,@invalid
EBNKMAP_autoRefreshEnabled,@invalid
EBNKMAP_autoZoomEnabled,@invalid
EBNKMAP_dayMode,@invalid
EBNKMAP_mapInitialized,@invalid
EBNKMAP_mapScreenHeight,@invalid
EBNKMAP_mapScreenWidth,@invalid
EBNKMAP_mapVisible,@invalid
EBNKNAV_readyToRestart,@invalid
EB_estimatedGPSValid,@invalid
EB_estimatedGeoTimestamp,@invalid
EB_estimatedHdg,@invalid
EB_estimatedLat,@invalid
EB_estimatedLon,@invalid
EB_initializedCD,@invalid
EB_initializedIC,@invalid
EB_mapCenter,@invalid
EB_mapMoving,false
EB_mapRelease,@invalid
EB_mapRotation,@invalid
EB_mapTags,@invalid
EB_navLanguage,@invalid
EB_resolution,@invalid
EB_sdkVersion,@invalid
EB_startupTimeCD,@invalid
EB_startupTimeIC,@invalid
EB_trafficDisplayInitialized,@invalid
EB_trafficInitialized,@invalid
EB_windowHeight,@invalid
EVLatestThirtyMiles,QPEkmzMzMzMBSQFh/nH9eATGBsP/KgHqAqQBrQVh/YX8CwDoAUkEk/73DB4CQQEdB3oBggKgAPkBof9f/OwGBwL5AN4A1wM+BL8CAwEuAg0CtgG3AhECZQHLAb0BkwFnAW4BOwEgAcACawFGAPcAwQDxAPkBYwGmAZEBiwGYAfECKgGLAKcBIgEBAO4A6wD+AUcBXgFTAVABXgFb/5wANf+7Ae8BdgByAHAAtgD+AWUBEwPiAh0BDv9y/k3+zP/OAEUBMAE8AUMBJgEJAS0BLwFuAOsAcAAGADIApABxAQ8BZAFpAXUA5gCZAGAAfQCWAJYAdwCIANABOQG+AZwBHAElAXABbwE1ADgCv/5G/UEB/ADtCKUG4QLhAS4BsgFr/6YCCQBvAwoDOAGjALQAtwBx/yYClQItAf8BHwNjBYP/qgEd/3sBKwD/ACcCvAC2/tACggKwArUA5AJTAKYBlwH/A2YBrQHvAXMCSAKGApMBCQB/AXIA/v/oAF0Eyv+5AdUBzQBPAW0ANAEUAUIBYABU/tQAFwAq/9wARgAs/7P/swD6BpcCxgG2AcEA7gFlAqoBZQJ+/1T+rgRwANEBNgEP/jsA/wdKAGoCHP/UBRADLgFOAhACxgHkARsBBQJ9AT//9ACcADr/3gAmAMD+rQEBAl0DUwJsBlcCewLGAbkCBgIxAZAATQFiAU0A2P/IAIkAtQAhAE7+MQNiAmcB9AAsAIr/3gAO/7j/iP+EATYC4ADkAJcA7wBvASkBDQCxAOn/lAQ/AgEB2wD+AjcApAHeA6z+lwMzAQsBPgQHAZgDlQH7AUwDxwCa//H+5QDwA8EB1AFVAAkA6gGJAREBkf//ALAAxQIkAr0CHAH3AoMCPgEZAMYA6AGS/7Q=
EV_KmsUpTo50,48.280
EV_MilesUpTo30,@invalid
EV_WhpkLast10,201.286
EV_WhpkLast25,209.536
EV_WhpkLast50,@invalid
EV_WhpkUpTo50,219.627
EV_Whpm1MiMedian,452.500
EV_Whpm2MiMedian,311.000
EV_Whpm3MiMedian,336.500
EV_WhpmLast10,333.200
EV_WhpmLast15,330.067
EV_WhpmLast20,355.450
EV_WhpmLast30,336.167
EV_WhpmLast5,371.600
EV_WhpmLastTenth,-76.528
EV_WhpmSendIt,true
EV_WhpmUpTo30,@invalid
EV_currentKnownLocation,None
EV_last30AveragePower,@invalid
EV_last30EnergyWeightedDrivePower,39158.141
EV_rangeCalc_Miles,@invalid
EV_rangeCalc_Start,@invalid
EV_rangeCalc_kWh,@invalid
EV_rangeCalc_whpm,@invalid
EV_serviceStarted,true
EV_tripA_Miles,2090.934
EV_tripA_Start,68126.793
EV_tripA_kWh,714.415
EV_tripA_whpm,341.673
EV_tripB_Miles,2275.954
EV_tripB_Start,67941.773
EV_tripB_kWh,780.863
EV_tripB_whpm,343.093
EV_tripCharge_Miles,31.312
EV_tripCharge_Start,70186.415
EV_tripCharge_kWh,11.086
EV_tripCharge_whpm,354.042
EV_tripCurrent_EndTime,Mon Jul 22 01:51:57 2019
EV_tripCurrent_Miles,8.453
EV_tripCurrent_Start,70209.274
EV_tripCurrent_StartTime,Mon Jul 22 01:31:32 2019
EV_tripCurrent_kWh,3.010
EV_tripCurrent_whpm,356.077
EV_tripSendIt,false
FEATURE_allowVinInChargingTelemetry,true
FEATURE_autoFoldMirrorsEnabled,true
FEATURE_autopilotStopAlerting,false
FEATURE_blindspotWarningEnabled,true
FEATURE_browserEnabled,true
FEATURE_calendarEnabled,true
FEATURE_cameraEnabled,true
FEATURE_chargeLimitMax,100
FEATURE_dasDriveOnNavEnabled,false
FEATURE_dasDriveOnNavMapsOkay,false
